AttributeId,Usage,MappedAttributeId
SIZE_1,バッグ,BAG_WIDTH
SIZE_2,バッグ,SIZE_2
SIZE_3,バッグ,SIZE_3
WEIGHT,バッグ,WEIGHT
SIZE_1,ジュエリー,RING_SIZE
SIZE_2,ジュエリー,SIZE_2
SIZE_3,ジュエリー,SIZE_3
WEIGHT,ジュエリー,WEIGHT
SIZE_1,衣料品,SHOULDER_WIDTH
SIZE_2,衣料品,CHEST_WIDTH
SIZE_3,衣料品,CLOTH_LENGTH
WEIGHT,衣料品,FABRIC_WEIGHT
PRODUCT_CODE,ファイル取り込み,COL_0
BRAND_ID,ファイル取り込み,COL_1
PRODUCT_NAME,ファイル取り込み,COL_2
